A5, 46.99962660835862, 1787.9990870712884, 1982.0009513284226
B1, 1646.0003621183657, 3051.9999623340427, 1258.0003124406783
B2, 2225.0001253941814, 2489.999928528701, 1254.0004339641425
B8, 1667.0002040762965, 3038.000073753758, 488.99988358865977
B9, 2214.9997528063955, 2506.00020657294, 460.9997423779242
A32, -759.9989786848896, 988.0006275340388, -546.9995408720102
A33, -182.00006285591, 1554.999995316516, -541.0000242442247
A34, 391.9997690825694, 2121.999967417885, -547.0003124070128
A35, 975.9997777558327, 2702.9999375353914, -558.0002785141778
BS8, 2558.999882342192, 2177.000310690016, 700.9998950297652
AS10, 235.99969204978797, 1981.9996529308905, 1751.000459539534
AS12, -381.00056603119265, 1372.9994807320147, 1464.000424046462
AS31, -867.9986014303121, 889.0015008198253, -1221.9990837691441
AS32, 839.9995679910166, 2580.999747841163, -1196.0005327948377
BS11, 1585.0002336989587, 3128.000086338545, 248.99977457449734
BS17, 1767.0000645687492, 2956.0000653615125, -795.9999055194185
BS20, 2561.9998787133504, 2178.9999334774025, -1033.0001176713865
BVS5, 2443.9999092180856, 2270.9993956100407, 1610.0012140855056
BVS6, 2212.0002761929964, 2497.999613176695, 1613.0009686658666
AVS50, 63.00008307208713, 1799.0000205960096, 1628.0000671218538
AVS51, 344.99992590956333, 2074.999787030429, 1623.0003954756698
AVS57, -513.000557638326, 1228.999736737876, 1230.0001243378833
AVS58, 60.00008874292755, 1792.0002608366542, 1235.9997029063315
AVS59, 629.9998009770326, 2360.999839855466, 1248.0000336219734
AVS65, -795.9998624045195, 945.0001604333456, 775.9996175130993
AVS69, 357.99968934949277, 2092.999859325454, 783.9996540668344
AVS70, 640.9998041054039, 2370.9998982976904, 776.9998197722482
AVS71, 955.9999665836103, 2681.9999916732613, 796.9999018713651
AVS75, -793.9995868874655, 946.000156763796, 401.999701066632
AVS91, 1318.000168752173, 3040.0000275780117, -5.000052498952219
BVS10, 1940.9995943502274, 2766.0007286648815, 1252.9980000589826
BVS16, 2747.0001826811267, 1983.0000618950023, 879.0007056288728
BVS35, 2239.999894708895, 2480.0000193665583, -399.9999375763069
BVS36, 1598.0001072932039, 3109.0000197383783, -358.0003740230135
BVS37, 1738.9999605431055, 2972.9999466487297, -614.0005752292437
BVS38, 2766.0001293310884, 1967.9998097498064, -810.0002838371221
BVS42, 1605.0001003516827, 3100.9999752170656, -868.0004740428369
BVS43, 2495.000073839975, 2233.999941394278, -1205.0001064990427
BVS44, 1966.9999563825845, 2747.000100695508, -1191.9998300006
AVS104, -760.9988929808575, 983.00097098157, -897.999050444686
AVS105, -475.99983121667816, 1261.0000909014773, -873.9998324314192
AVS106, -191.9998416109805, 1543.0000866562993, -894.9999902200836
AVS107, 100.99981792700359, 1833.9998947659699, -885.00038148291
AVS108, 393.99949708460366, 2127.9997373688784, -914.0001643417709
AVS116, 392.99917757599894, 2128.9995911905125, -1352.0003168851297
AVS117, 952.9996395622089, 2682.9997125944233, -1334.0006177778748
